jen, ranking_hypot_twopoint_best, ranking_hypot_twopoint_ave
 786,    0.756, 0.647709
 787,   0.7553, 0.651811
 788,   0.7553, 0.646343
 789,   0.7553, 0.646629
 790,   0.7553, 0.651408
 791,   0.7553, 0.656016
 792,   0.7553, 0.646037
 793,   0.7553, 0.649992
 794,   0.7553, 0.647635
 795,   0.7553, 0.651646
 796,   0.7553, 0.648511
 797,   0.7553, 0.655636
 798,   0.7534, 0.651293
 799,   0.7534, 0.653721
 800,   0.7534, 0.655023
 801,   0.7534, 0.650828
 802,   0.7534, 0.646214
 803,   0.7534, 0.652261
 804,   0.7534, 0.655109
 805,   0.7534, 0.658547
 806,   0.7534, 0.662421
 807,   0.7534, 0.657265
 808,   0.7569, 0.653729
 809,   0.7569, 0.648266
 810,   0.7569, 0.645336
 811,   0.7569, 0.654899
 812,   0.7569, 0.653273
 813,   0.7569, 0.659322
 814,   0.7569, 0.655289
 815,   0.7569, 0.655192
 816,   0.7569, 0.643959
 817,   0.7569, 0.655159
 818,   0.7569, 0.652017
 819,   0.7569, 0.652835
 820,   0.7569, 0.656901
 821,   0.7569, 0.660801
 822,   0.7569,  0.65931
 823,   0.7569, 0.643676
 824,   0.7569, 0.642977
 825,   0.7569, 0.652522
 826,   0.7569, 0.649341
 827,   0.7569, 0.658147
 828,   0.7569, 0.660469
 829,   0.7569, 0.660226
 830,   0.7569, 0.650668
 831,   0.7569, 0.659867
 832,   0.7569, 0.662915
 833,   0.7586, 0.654174
 834,   0.7586, 0.653833
 835,   0.7586, 0.655458
 836,   0.7586, 0.655437
 837,   0.7586,  0.64619
 838,   0.7586, 0.642604
 839,   0.7586,  0.65676
 840,   0.7586, 0.652608
 841,   0.7586, 0.643754
 842,   0.7586, 0.652488
 843,   0.7586, 0.651294
 844,   0.7586, 0.648723
 845,   0.7586, 0.653373
 846,   0.7586, 0.652225
 847,   0.7586, 0.653912
 848,   0.7586,  0.65572
 849,   0.7586, 0.657151
 850,   0.7609, 0.651724
 851,   0.7609, 0.655448
 852,   0.7609, 0.657702
 853,   0.7609,  0.65014
 854,   0.7609, 0.649741
 855,   0.7609, 0.662494
 856,   0.7609, 0.653649
 857,   0.7609, 0.652062
 858,   0.7609, 0.649506
 859,   0.7609, 0.654842
 860,   0.7609, 0.657693
 861,   0.7609, 0.654116
 862,   0.7609, 0.648718
 863,   0.7609,  0.65199
 864,   0.7609, 0.652413
 865,   0.7609, 0.656651
 866,   0.7609, 0.654459
 867,   0.7609, 0.647544
 868,   0.7609, 0.652848
 869,   0.7609, 0.654604
 870,   0.7609,  0.64411
 871,   0.7609, 0.652618
 872,   0.7609, 0.660253
 873,   0.7609, 0.651273
 874,   0.7609, 0.648277
 875,   0.7609,  0.65525
 876,   0.7609, 0.657781
 877,   0.7609, 0.651235
 878,   0.7609, 0.654319
 879,   0.7609,  0.65559
 880,   0.7609, 0.654493
 881,   0.7609, 0.652567
 882,   0.7609, 0.651405
 883,   0.7609,  0.65207
 884,   0.7609, 0.653132
 885,   0.7609, 0.650478
 886,   0.7609, 0.657812
 887,   0.7609,  0.64944
 888,   0.7609, 0.650314
 889,   0.7609, 0.651053
 890,   0.7609,   0.6646
 891,   0.7609, 0.660523
 892,   0.7609, 0.657788
 893,   0.7609,  0.66233
 894,   0.7609,  0.66203
 895,   0.7609, 0.666254
 896,   0.7609, 0.658263
 897,   0.7609, 0.665317
 898,   0.7609, 0.653576
 899,   0.7609, 0.654004
 900,   0.7609, 0.653629
 901,   0.7609, 0.647719
 902,   0.7609, 0.649715
 903,   0.7609, 0.653986
 904,   0.7609, 0.653783
 905,   0.7609, 0.658627
 906,   0.7609, 0.653457
 907,   0.7609, 0.657881
 908,   0.7609, 0.655006
 909,   0.7609, 0.649257
 910,   0.7609, 0.648494
 911,   0.7609, 0.653752
 912,   0.7609,  0.65606
 913,   0.7609, 0.654948
 914,   0.7609, 0.649128
 915,   0.7609, 0.644995
 916,   0.7609, 0.651954
 917,   0.7609, 0.649261
 918,   0.7646, 0.646792
 919,   0.7646, 0.657761
 920,   0.7646, 0.656394
 921,   0.7646, 0.651374
 922,   0.7637, 0.652435
 923,   0.7637, 0.658408
 924,   0.7637,  0.66432
 925,   0.7637, 0.656946
 926,   0.7637, 0.651299
